Latitude,Longitude,Agebuilding,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),TotalGHGEmissions
47.70063,-122.32487,37,1.0,4,53730,0,53730,Bureau,20.0,88.30000305,33.06
47.5671,-122.36416,56,1.0,3,55593,0,55593,Bureau,55.0,79.40000153,93.23
47.62269,-122.33224,34,1.0,4,134056,60960,73096,Bureau,54.0,68.0,32.73
47.62003,-122.35706,31,1.0,4,86995,28800,58195,Bureau,81.0,51.90000153,20.86
47.62572,-122.33389,102,1.0,5,127800,0,127800,Industrie,56.0,22.0,29.53
47.62002,-122.33687,62,1.0,3,67380,0,67380,Industrie,66.0,46.79999924,74.1
47.62115,-122.3597,42,1.0,5,88062,20826,67236,Bureau,80.0,55.0,23.81
47.62224,-122.3585,44,1.0,5,87178,20416,66762,Bureau,69.0,57.59999847,25.32
47.62224,-122.3585,46,1.0,5,87178,20416,66762,Bureau,86.0,55.5,24.35
47.62014,-122.35768,45,1.0,5,88000,21600,66400,Bureau,75.0,0.0,24.29
47.56885,-122.37121,19,1.0,4,98475,0,98475,Industrie,83.0,12.0,22.44
47.56895,-122.33775,8,1.0,1,63225,0,63225,Commerce,100.0,103.1999969,45.47
47.56548,-122.35378,61,1.0,1,113780,0,113780,Bureau,,35.29999924,121.98
47.72053,-122.34739,19,1.0,1,131387,0,131387,Commerce,72.0,82.90000153,110.46
47.72377,-122.34095,17,1.0,3,94400,0,94400,Industrie,38.0,11.89999962,10.24
47.65086,-122.35412,28,1.0,3,124071,28645,95426,Bureau,73.0,51.70000076,34.9
47.64963,-122.35158,16,1.0,4,90000,36528,53472,Bureau,84.0,43.29999924,27.17
47.64849,-122.35041,15,1.0,3,96041,33709,62332,Bureau,70.0,87.0,37.74
47.54983,-122.32858,49,1.0,2,90000,0,90000,Industrie,87.0,16.29999924,17.17
47.55032,-122.32614,50,1.0,1,50200,0,50200,Commerce,,23.79999924,32.22
47.66891,-122.38528,91,1.0,6,94033,6200,87833,Bureau,,60.20000076,120.24
47.66724,-122.38553,75,1.0,2,63240,0,63240,Industrie,100.0,4.300000191,8.15
47.64676,-122.37581,28,1.0,4,130293,23400,106893,Industrie,,3.599999905,3.25
47.65567,-122.37478,19,1.0,4,106041,0,106041,Industrie,94.0,11.80000019,25.58
47.63634,-122.3754,60,1.0,3,94470,0,94470,Industrie,,12.60000038,33.18
47.54769,-122.3251,50,1.0,1,22780,0,22780,Industrie,33.0,17.60000038,2.8
47.54187,-122.32714,49,1.0,1,50065,0,50065,Industrie,72.0,35.09999847,42.65
47.54621,-122.33486,47,1.0,1,57540,0,57540,Industrie,26.0,48.79999924,76.68
47.54853,-122.32814,50,1.0,1,85400,0,85400,Industrie,49.0,18.0,10.72
47.54912,-122.32819,50,1.0,1,55700,0,55700,Industrie,63.0,9.5,3.62
47.54965,-122.3278,52,1.0,1,53250,0,53250,Bureau,96.0,33.40000153,46.93
47.62476,-122.34843,29,1.0,6,78672,28427,50245,Bureau,98.0,28.20000076,28.63
47.71286,-122.34422,30,1.0,3,64660,0,64660,Industrie,89.0,5.199999809,6.32
47.61552,-122.31744,89,1.0,2,75844,19928,55916,Autres,,66.40000153,38.48
47.56785,-122.33361,76,1.0,1,56608,0,56608,Autres,,92.30000305,74.31
47.59367,-122.30957,102,1.0,2,62220,0,62220,Bureau,32.0,87.80000305,38.55
47.59388,-122.31124,46,1.0,1,65430,0,65430,Bureau,89.0,52.09999847,90.24
47.66517,-122.30186,10,1.0,3,102290,42440,59850,Bureau,26.0,73.0,49.17
47.64037,-122.32626,38,1.0,4,85385,31210,54175,Bureau,,92.5,33.85
47.53687,-122.33316,27,1.0,2,98024,0,98024,Industrie,94.0,21.60000038,42.25
47.62405,-122.33084,88,1.0,1,65000,15000,50000,Bureau,,91.90000153,63.89
47.7094,-122.31843,47,1.0,2,98539,0,98539,Commerce,,55.79999924,46.49
47.70732,-122.33279,35,1.0,6,86483,0,86483,Bureau,56.0,76.69999695,44.35
47.53926,-122.34143,40,1.0,1,51600,0,51600,Industrie,75.0,23.20000076,22.1
47.7126,-122.33782,11,1.0,3,63909,0,63909,Medical,,74.59999847,33.22
47.69814,-122.34295,68,1.0,2,53472,0,53472,Industrie,,18.70000076,34.0
47.52696,-122.32913,36,1.0,1,50417,0,50417,Industrie,14.0,42.59999847,58.67
47.56089,-122.33474,47,1.0,2,104786,0,104786,Industrie,93.0,11.0,23.86
47.55787,-122.335,16,1.0,1,53040,41600,11440,Autres,,37.0,49.9
47.55741,-122.33163,43,1.0,1,110689,0,110689,Autres,,25.20000076,107.83
47.5563,-122.33186,68,1.0,1,53620,0,53620,Bureau,86.0,40.0,22.12
47.55623,-122.33316,78,1.0,1,50008,0,50008,Bureau,62.0,67.59999847,65.3
